Time,Latitude,Longitude
2019-09-08T17:50:00.000Z,-34.349,21.823
2019-09-08T18:00:00.000Z,-5.495,47.471
2019-09-08T18:10:00.000Z,24.607,70.395
2019-09-08T18:20:00.000Z,47.937,107.419
2019-09-08T18:30:00.000Z,47.767,164.1
2019-09-08T18:40:00.000Z,24.339,-159.203
2019-09-08T18:50:00.000Z,-5.692,-136.396
2019-09-08T19:00:00.000Z,-34.445,-110.772
2019-09-08T19:10:00.000Z,-51.482,-64.633
2019-09-08T19:20:00.000Z,-41.11,-11.886
2019-09-08T19:30:00.000Z,-14.033,17.599
2019-09-08T19:40:00.000Z,16.374,39.768
2019-09-08T19:50:00.000Z,42.853,70.746
2019-09-08T20:00:00.000Z,50.975,125.186
2019-09-08T20:10:00.000Z,32.112,169.183
2019-09-08T20:20:00.000Z,2.904,-166.053
2019-09-08T20:30:00.000Z,-26.889,-142.79
2019-09-08T20:40:00.000Z,-48.986,-104.057
2019-09-08T20:50:00.000Z,-46.631,-47.798
2019-09-08T21:00:00.000Z,-22.342,-12.798
2019-09-08T21:10:00.000Z,7.875,9.776
2019-09-08T21:20:00.000Z,36.375,36.409
2019-09-08T21:30:00.000Z,51.747,84.858
2019-09-08T21:40:00.000Z,39.17,136.032
2019-09-08T21:50:00.000Z,11.461,164.183
2019-09-08T22:00:00.000Z,-18.807,-173.634
2019-09-08T22:10:00.000Z,-44.399,-141.316
2019-09-08T22:20:00.000Z,-50.371,-86.105
2019-09-08T22:30:00.000Z,-30.246,-44.113
2019-09-08T22:40:00.000Z,-0.741,-19.927
2019-09-08T22:50:00.000Z,28.966,3.937
2019-09-08T23:00:00.000Z,49.937,44.913
2019-09-08T23:10:00.000Z,45.131,100.801
2019-09-08T23:20:00.000Z,19.847,133.991
2019-09-08T23:30:00.000Z,-10.403,156.257
2019-09-08T23:40:00.000Z,-38.284,-176.195
2019-09-08T23:50:00.000Z,-51.797,-126.154
2019-09-09T00:00:00.000Z,-37.506,-76.825
